,finger x,finger y,finger z
209,-35.92345743371084,9.355771173645167,-30.123661876289454
210,-37.39104555495487,5.528407645925881,-33.065110207060044
211,-38.972940016719804,1.4963020110556613,-36.262478885028315
212,-40.648861656080726,-2.6718330842214755,-39.669365429935155
213,-42.3568339950009,-6.938656404052779,-43.27282136995869
214,-43.98389415433712,-11.292749251069267,-47.09453402685515
215,-45.364428830936276,-15.73182460634115,-51.1802397001615
216,-46.30529157709873,-20.241733088333547,-55.575062130247765
217,-46.628232243186574,-24.773200983680965,-60.28527194479416
218,-46.19646522814236,-29.218813275939226,-65.24506787101015
219,-44.91979666868673,-33.40241930229837,-70.3105795467458
220,-42.760386068302125,-37.089868736167375,-75.27402715164655
221,-39.72873622070949,-40.01176189733968,-79.88307141283002
222,-35.8516401045037,-41.8898219388808,-83.8686597190046
223,-31.16163476995837,-42.477112715843646,-86.98235768608686
224,-25.73359813209919,-41.60851975545654,-89.03321710890833
225,-19.701387835716844,-39.23246129365765,-89.91486368128588
226,-13.236497659221413,-35.411969445753755,-89.61244497895215
227,-6.535658999212046,-30.310598928046772,-88.18827196538504
228,0.180338889769871,-24.176628556176638,-85.764604276521
229,6.662429871951758,-17.32845185944143,-82.51499484261294
230,12.624701944787375,-10.136966072408882,-78.65668123583004
231,17.766295031080404,-2.9987216845484,-74.43973459163544
232,21.823726597219206,3.699982543039937,-70.12854048288197
233,24.605993566076734,9.62354889357897,-65.969147075303
234,26.007045173457755,14.523157442184242,-62.15167171540293
235,26.0232514529406,18.257714607095465,-58.7787704920344
236,24.762197059537527,20.798657972015633,-55.840618625293104
237,22.415159355986702,22.227610653736463,-53.20041550411014
238,19.206656781122433,22.732665038290634,-50.598757917495796
239,15.355676902657933,22.59395025913591,-47.68234452212372
240,11.066137798380282,22.1472960119371,-44.06339786685276
241,6.542650428770003,21.72717445924377,-39.42140075449218
242,2.0421388179130417,21.59067622801558,-33.65604411172063
243,-2.062777806273175,21.83624996811062,-27.027392438206288
244,-5.334413375187808,22.375159634975716,-20.11701499297036
245,-7.459119204881404,23.01034385699552,-13.574467228475218
246,-8.375351778319384,23.56583762712461,-7.873255041687344
247,-8.227334049848878,23.94574434019603,-3.2448176810855323
248,-7.255477138720323,24.107963936330634,0.27241113897513713
249,-5.71370077555855,24.031179521976753,2.764895654763677
250,-3.820150264637334,23.709637637871595,4.383539220994326
251,-1.7581256946144208,23.155898248305107,5.297169131118995
252,0.28807679652231855,22.398656960277208,5.66432966069863
253,2.125601680340594,21.47809567698289,5.621949582634844
254,3.5948247037893566,20.438193611120425,5.282018238982555
255,4.6120595043603885,19.31667762480771,4.729831034686605
256,5.170239327718207,18.14059068288998,4.02768070736137
257,5.303030089187644,16.928674298689828,3.2255582535714034
258,5.045830814879082,15.693747431541283,2.3713161629648205
259,4.42462380751607,14.441608062774947,1.5135120178482175
260,3.4707671735105805,13.166223058007631,0.6988936701972648
261,2.239679271987427,11.844464037324087,-0.029745183439455758
262,0.822000363648101,10.436757418432308,-0.6360267610645565
263,-0.6558500978570692,8.897289119204288,-1.0960143196756533
264,-2.047528719621994,7.190750121516487,-1.4023917998864377
265,-3.206489718792227,5.30840411614264,-1.562252111737994
266,-3.9828431029675926,3.2783689550655026,-1.5925954713416068
267,-4.218134942810536,1.1665507512930162,-1.5150644617842879
268,-3.765682812080229,-0.9326466191694749,-1.3515322693620213
269,-2.5084781112028054,-2.9122545973478964,-1.1219489302116692
270,-0.3631921064268795,-4.671025297732001,-0.839956859690183
271,2.7002210640176827,-6.125035632067011,-0.5072361433300365
272,6.62677300388026,-7.203258961681058,-0.11180503312413492
273,11.274884425830578,-7.835974326148687,0.3688594092370323
274,16.451414431578826,-7.954937050229205,0.9602023203281185
275,21.947303697494647,-7.508691056273165,1.6789703355204466
276,27.560601010755192,-6.480890986146903,2.521859637693691
277,33.1124857423859,-4.898994090630993,3.4613783956811695
278,38.452202275529146,-2.8313460192421758,4.447117441622073
279,43.45663052420434,-0.3806460266488898,5.403380962019089
280,48.0353851650932,2.319528992977382,6.22727805173362
281,52.120955535897906,5.105305405507465,6.799591134464933
282,55.630007093320444,7.788290611429716,7.007291614305355
283,58.4395130648403,10.174085602642435,6.77097628194101
284,60.398463110246325,12.087253410385301,6.074072037132616
285,61.341427391738534,13.392628823893915,4.979795569754142
286,61.0964338912936,14.01242024363114,3.6242901077647716
287,59.50618431839416,13.938377526621082,2.1984106736749887
288,56.46846456019716,13.23281459052339,0.924359936682162
289,51.98380384383938,12.015517757163252,0.012224625250745191
290,46.19701295388268,10.436817757380368,-0.4070413547490048
291,39.421955489430616,8.64205702531251,-0.344943744780668
292,32.120356743348566,6.746294208149095,0.03863730782205366
293,24.81346241673066,4.833756696299929,0.51177261865476
294,17.967493331980222,2.9698408249245745,0.8693974091364964
295,11.921312319714161,1.2069870366886448,0.9847791274175677
296,6.871872383399591,-0.41429677662563336,0.8140909994036605
297,2.8876683293219685,-1.8615105207544502,0.37809670832222864
298,-0.06745601157831516,-3.1080935691250033,-0.26739334538250503
299,-2.096034615163944,-4.137262009656695,-1.0559449522715703
300,-3.3247160745304427,-4.946178857679229,-1.9219393142937413
301,-3.88206647572531,-5.5474690045471675,-2.806576883330081
302,-3.896939520316778,-5.967068558028643,-3.6606926539244355
303,-3.4962269726577233,-6.236494396993919,-4.444069981835774
304,-2.7850506280486798,-6.383970401614647,-5.127043764120653
305,-1.8283705691430896,-6.429043515083777,-5.689783090567335
306,-0.6631765155589164,-6.378898317223047,-6.116584670688319
307,0.6790176290110139,-6.225960193027902,-6.397163687609453
308,2.1651964915463395,-5.949122254733652,-6.532074636829144
309,3.756866321339203,-5.520352571508624,-6.532415282235693
310,5.399840663457667,-4.91792105192701,-6.416912671620256
311,7.020596512504085,-4.14095829147243,-6.208222134463259
312,8.541393595379532,-3.213887878580124,-5.927958260033783
313,9.898491285937894,-2.1794777976467117,-5.592941542811758
314,11.045018988838251,-1.0916553663449236,-5.2165039497782395
315,11.95393342386808,-0.010581257640751573,-4.814893260031816
316,12.625413308043676,1.0056667503022254,-4.410755529364874
317,13.07968255356684,1.9081636590954076,-4.027156084856376
318,13.344767740647967,2.6590095959946325,-3.6774800976817623
319,13.45637644264741,3.234216073593643,-3.3607674183517844
320,13.456067347206613,3.627060882628541,-3.063211038168312
321,13.382011996043275,3.8454169494954726,-2.764391571811853
322,13.270030186646409,3.9040630768170104,-2.4440494163751048
323,13.16250645736261,3.8180912848915227,-2.08319560734882
324,13.100877495503482,3.601132939294871,-1.666880407844129
325,13.107370721598954,3.26738674927185,-1.1904900942005803
326,13.183227926163,2.8346769353930767,-0.6607102601958736
327,13.307454993167767,2.324954941343549,-0.09228858667853501
328,13.422817068857285,1.7595416697773203,0.49651515191184714
329,13.445852237992995,1.1535037162246908,1.0867246664236774
330,13.302069337996159,0.5151837973684792,1.656839817158584
331,12.942300914119187,-0.151184012239014,2.18424066281786
332,12.34005061235166,-0.843585396168578,2.6536705298458863
333,11.498387006895427,-1.5595534856558402,3.0621475633338946
334,10.455843824203725,-2.2923854842034075,3.414068565134265
335,9.274248977789057,-3.0292663832014455,3.713195478988407
336,8.02435258627554,-3.75179439343043,3.9587005720242985
337,6.775301654073473,-4.438618768581648,4.14735196461713
338,5.577717247192027,-5.070511121957111,4.277424505807037
339,4.4515101968443105,-5.6351103556266935,4.3491805047319865
340,3.3923750425941535,-6.127707488865042,4.364331893922824
341,2.390640530123278,-6.545387608866804,4.327874642518825
342,1.4491007395349698,-6.875855886761428,4.249525102716589
343,0.5863230026648125,-7.091575151214613,4.140891684443204
344,-0.1805436434665353,-7.158143467670186,4.013925950807629
345,-0.8582134551602394,-7.05029270861246,3.8841481563731683
346,-1.4735886439751766,-6.762027333991227,3.769928612019857
347,-2.0473716372464423,-6.305988416613673,3.6871749193467807
348,-2.5892903237973997,-5.706701608161779,3.646332061496338
349,-3.118513900219,-4.993914746805217,3.6527137876980476
350,-3.673191553275501,-4.19784172908777,3.7074505831249382
351,-4.300929407804688,-3.3454157095675896,3.8029528311742666
352,-5.042898046312416,-2.458616724531737,3.915919579297711
353,-5.920487909733652,-1.555618043958873,4.012465796672693
354,-6.933922500110157,-0.6518324064685999,4.065408059036546
355,-8.074157105880886,0.24163606117610925,4.06511636327167
356,-9.332263559784337,1.1174598048526718,4.013552296881162
357,-10.699239716501552,1.9639652935055096,3.912878313830248
358,-12.166453376636355,2.7564359853613496,3.7624377943941134
359,-13.719309100537203,3.4568163695851695,3.5614618958472732
360,-15.319806964043892,4.019997401940145,3.3103372539766696
361,-16.914505853208084,4.401706396834015,3.010895830181326
362,-18.477066030499145,4.564473379701894,2.667167273210147
363,-20.026614849143698,4.4806557794245805,2.2851991895840307
364,-21.59530942391541,4.132535672496829,1.8713319499785719
365,-23.20281685548764,3.510613225515158,1.431118079322502
366,-24.875520326048672,2.6145654133031826,0.9704831236789779
367,-26.658486649282054,1.4553002725534725,0.49773547141285235
368,-28.589585183539157,0.05156393469718523,0.024579679334113536
369,-30.696432145148833,-1.5757447804816138,-0.4352280011166165
370,-33.02531936485309,-3.4029847949668124,-0.8680405376120248
371,-35.63544395549911,-5.398875120832258,-1.2604389030732577
372,-38.562766947876526,-7.523842078690279,-1.6001693554228424
373,-41.798668748299406,-9.7323429998184,-1.8796904258113756
374,-45.287335946682106,-11.969515288356547,-2.1003474576923864
375,-48.93551119940298,-14.163402169742767,-2.2753485190185607
376,-52.61945011014291,-16.22430960880905,-2.426797091624966
377,-56.169484180472296,-18.055114039029263,-2.578959967387995
378,-59.37088981721672,-19.56600609432968,-2.7523091905159447
379,-62.02235850319937,-20.688254570814024,-2.955409716103752
380,-63.98959438074314,-21.384825542980934,-3.180182215695826
381,-65.20508004109615,-21.658684017218377,-3.406465468802633
382,-65.65831706787861,-21.555650004316362,-3.608696278836643
383,-65.39215802951048,-21.152766736676654,-3.7616857153564
384,-64.48848008885477,-20.53621281825002,-3.8490017623074024
385,-63.04532560702114,-19.783802544857565,-3.8702965810313295
386,-61.15165179081572,-18.95659566987007,-3.839337808766885
387,-58.884316334314235,-18.09755443051131,-3.7744163412107845
388,-56.330195769383806,-17.235732974413054,-3.690833136382299
389,-53.58468567776242,-16.388850916143838,-3.5976918457079066
390,-50.71729422990501,-15.560960563249182,-3.4969988703625887
391,-47.75984630773422,-14.743438618189941,-3.3845733908655085
392,-44.73437557069104,-13.921854596063099,-3.251219530626237
393,-41.672850433066344,-13.080269920756393,-3.0851784984875508
394,-38.60635669170165,-12.20118444472007,-2.878263522097413
395,-35.55579898690553,-11.268374415799087,-2.6327186169639027
396,-32.539835968883324,-10.274611773297693,-2.360570823992436
397,-29.579651771378224,-9.228301210100653,-2.0750329715051308
398,-26.696688107200828,-8.153518092015588,-1.7847026280874978
399,-23.914798087240285,-7.08381382664669,-1.4942263133748135
400,-21.260508557730873,-6.054823364770812,-1.2057204761672935
401,-18.754663339592526,-5.101359108103054,-0.9206284276799259
402,-16.410154038254632,-4.257667645227059,-0.6435359953740338
403,-14.243140701573509,-3.5520889076749995,-0.3818692590464856
404,-12.275567591402137,-2.9977348780079183,-0.13801665759105575
405,-10.518949941690892,-2.590773952150016,0.09693181087389036
406,-8.962823838679412,-2.3161978769365987,0.33810751402363337
407,-7.580102358240026,-2.152863398151794,0.5948747873345539
408,-6.3383185722472035,-2.076352593761044,0.8650801998717483
409,-5.207246305282354,-2.0620969771698583,1.141290309745635
410,-4.1586923313658986,-2.089344828256401,1.4198075900790919
411,-3.167768582933661,-2.1441391473615568,1.7003418670973325
412,-2.2184824400994785,-2.2190401164294826,1.9787565770026383
413,-1.2948468084417186,-2.310142556154915,2.2450746741080607
414,-0.3668059848109806,-2.4125913394854592,2.489533761701246
415,0.6037256191717688,-2.514583583632657,2.7061077010048784
416,1.645618849053676,-2.5937215799416435,2.887709351358847
417,2.7684138911610034,-2.6195865304217136,3.0229082820651954
418,3.9623806874118372,-2.5586715904566404,3.1001378931421186
419,5.204396337425976,-2.379450712346909,3.1101834254276817
420,6.464839367858133,-2.059086150325129,3.045860803140954
421,7.7093287938225785,-1.5859488054275062,2.9084996936026286
422,8.891159171760421,-0.9548918056339062,2.7163369646610036
423,9.945515229233592,-0.16185909804278253,2.5029563611225214
424,10.790732900701983,0.800738782167798,2.307476518938145
425,11.325857545656959,1.9462487417598595,2.1679591421550626
426,11.433275357688899,3.286629703900701,2.126046131381898
427,10.999715405446864,4.823358520191334,2.23729638310477
428,9.926984799953686,6.547323716894482,2.576978219573256
429,8.106404145223678,8.44049832385707,3.240493314712989
430,5.395013016610051,10.474527209581197,4.3392760328999636
431,1.6273739760706007,12.610883038810528,5.988164033108756
432,-3.356836145897546,14.800253148770537,8.282176076225056
433,-9.68539892517839,16.979991416818052,11.26931209924642
434,-17.434963216061306,19.07241564381934,14.93431581256166
435,-26.629820998536502,20.984961046245587,19.20152799250996
436,-37.24370343408623,22.62054642937983,23.953405769294278
437,-49.20088091992625,23.899068685970803,29.06038049371995
438,-62.390167045961675,24.769272230500405,34.41270642508343
439,-76.67790438075173,25.201782149288476,39.940359974905526
440,-91.90495491909445,25.18149528762592,45.61420411652995
441,-107.8839488094161,24.710393158336785,51.43049548025802
442,-124.4023821296878,23.809912621729268,57.390943036510045
443,-141.23555604678728,22.515401690995418,63.48951930945468
444,-158.18020435341396,20.86889428714045,69.69863262370035
445,-175.08789366226551,18.913901174038017,75.94980531526785
446,-191.88215666936514,16.68668111233984,82.1266562794718
447,-208.56131403895972,14.20313366314474,88.08234527496461
448,-225.17802453666746,11.454658962385622,93.66922533391042
449,-241.79513930148033,8.418922068663903,98.76243899336723
450,-258.43626192337865,5.071595935838502,103.271682361048
451,-275.06794700659043,1.3914506259169457,107.14752813189676
452,-291.62659965415116,-2.63472695559841,110.3840694285756
453,-308.0404554088716,-7.00358046563565,113.01208787019412
454,-324.2114620551959,-11.687707991100638,115.08137328169177
455,-339.995261841743,-16.636924065380754,116.6364516879046
456,-355.2181095428395,-21.785279848423045,117.6935216931385
457,-369.69948949939635,-27.054618579882117,118.2255854786316
458,-383.2363676282,-32.35656388942232,118.15892101194159
459,-395.57794002692503,-37.59621822822368,117.37940102525269
460,-406.45161925844775,-42.67409017220558,115.74556300125406
461,-415.61686825345134,-47.4853122165797,113.10896061555641
462,-422.8761974149364,-51.91740488034924,109.33631760803752
463,-428.0668929289533,-55.852386196647785,104.32538691092662
464,-431.0942987654869,-59.1805078718437,98.01883137523947
465,-431.9762714622968,-61.81590222462319,90.42141734467623
466,-430.84234114666486,-63.699265587139564,81.61442104572725
467,-427.9030906011627,-64.7953143759068,71.7571012171403
468,-423.41943005804694,-65.09694494572216,61.068800367659826
469,-417.66908487855403,-64.63049893635997,49.79802245881526
470,-410.93004083797524,-63.45590768863474,38.196861670651394
471,-403.4844019047199,-61.66150996784836,26.509664479234196
472,-395.6046029612921,-59.35285438012272,14.970397518589529
473,-387.5303753200612,-56.63596554494177,3.801602035822249
474,-379.46473879602394,-53.59628168034192,-6.79531155229629
475,-371.5689923163765,-50.28064639458307,-16.665730855270233
476,-363.9393895041252,-46.698903421329874,-25.73456817038533
477,-356.58564468226217,-42.85436234005857,-34.036247801512154
478,-349.42494732815277,-38.79416992474205,-41.73897287557082
479,-342.2963168425781,-34.65956708892293,-49.14897921801309
480,-335.0068713576917,-30.70953082049499,-56.6810677028311
481,-327.3748447406106,-27.29075141532178,-64.80044643084959
482,-319.22578964748993,-24.75288932339481,-73.94173669648296
483,-310.3805957367385,-23.353422322095696,-84.41705650263565
484,-300.6790799382628,-23.205400424927802,-96.34669846442279
485,-290.01912011141684,-24.275956212157723,-109.6314837842769
486,-278.38618312359387,-26.40855593458724,-123.95217617242338
487,-265.87094900945374,-29.350997866721684,-138.78302593768765
488,-252.6705212190521,-32.78383993922773,-153.4209397275079
489,-239.0719321254977,-36.344303720724724,-167.02826802345695
490,-225.4268319673045,-39.643373060130216,-178.6840761634041
491,-212.11389641629097,-42.28063138685201,-187.4403093686956
492,-199.49143935676972,-43.862878894699975,-192.38457022380294
493,-187.84672391361568,-44.02660238417866,-192.72067205921584
494,-177.3382508732979,-42.46598308296967,-187.86705716064222
495,-167.96153573486805,-38.9710782740309,-177.55442218945427
496,-159.56051548817385,-33.4731379192732,-161.90834298372226
